行政區,路名,巷,弄
石門區,,,
石門區,七股,,
石門區,下員坑,,
石門區,中央路,,
石門區,中山路,,
石門區,九芎林,,
石門區,五爪崙,,
石門區,內石門,,
石門區,內阿里磅,,
石門區,八甲,,
石門區,公地,,
石門區,嘉祿街,,
石門區,嘉祿街,３０巷,
石門區,坪林,,
石門區,大丘田,,
石門區,大溪墘,,
石門區,小坑,,
石門區,尖子鹿,,
石門區,尖山湖,,
石門區,崁子腳,,
石門區,楓林,,
石門區,楓林23之2,,
石門區,海園路,,
石門區,海灣新城,,
石門區,白沙灣別墅,,
石門區,石崩山,,
石門區,石門新村,,
石門區,石門街,,
石門區,石門街,２巷,
石門區,福安街,,
石門區,竹子湖,,
石門區,老崩山,,
石門區,老梅路,,
石門區,老梅路,５２巷,
石門區,老梅路,５２巷,１２弄
石門區,老梅路,５２巷,２５弄
石門區,臨海別墅,,
石門區,茂林社區,,
石門區,草埔尾,,
石門區,豬糟潭,,
石門區,金華新城,,
石門區,阿里磅,,
石門區,阿里荖,,
